frequency;V(/BPF) (phase);V(/BPF) (gain);V(/BSF) (phase);V(/BSF) (gain);V(/HPF) (phase);V(/HPF) (gain);V(/LPF) (phase);V(/LPF) (gain);
323.594;-92.0414;-8.98692;177.949;-0.00564152;177.965;-18.9023;-2.04736;0.928527;
331.131;-92.0998;-8.74064;177.89;-0.00596187;177.906;-18.4561;-2.10599;0.974812;
338.844;-92.1605;-8.49191;177.829;-0.00630428;177.846;-18.0073;-2.1669;1.02354;
346.737;-92.2237;-8.2406;177.765;-0.00667063;177.783;-17.556;-2.23023;1.07486;
354.813;-92.2894;-7.98654;177.699;-0.00706305;177.717;-17.102;-2.29612;1.12891;
363.078;-92.3578;-7.72958;177.63;-0.00748387;177.649;-16.645;-2.36473;1.18588;
371.535;-92.4291;-7.46954;177.558;-0.0079357;177.578;-16.185;-2.43624;1.24592;
380.189;-92.5035;-7.20623;177.483;-0.00842147;177.504;-15.7217;-2.51084;1.30924;
389.045;-92.5812;-6.93943;177.404;-0.00894444;177.427;-15.2549;-2.58875;1.37603;
398.107;-92.6624;-6.66895;177.322;-0.00950828;177.346;-14.7844;-2.67019;1.44652;
407.38;-92.7474;-6.39453;177.236;-0.0101171;177.261;-14.31;-2.75541;1.52094;
416.869;-92.8365;-6.11593;177.146;-0.0107757;177.172;-13.8314;-2.84471;1.59955;
426.58;-92.9299;-5.83286;177.052;-0.0114892;177.079;-13.3483;-2.93839;1.68262;
436.516;-93.0281;-5.54503;176.953;-0.0122637;176.981;-12.8605;-3.0368;1.77046;
