time;V(/BPF);V(/BSF);V(/HPF);V(/LPF);
0.0116913;8.40073;0.0924306;-2.40173;2.29985;
0.0116943;8.41608;0.0975471;-2.24553;2.13852;
0.0116974;8.42678;0.102981;-2.08458;1.97212;
0.0117017;8.43679;0.110487;-1.8591;1.73913;
0.0117076;8.44531;0.120071;-1.55142;1.42185;
0.0117163;8.45232;0.132347;-1.09534;0.953489;
0.0117263;8.45592;0.143283;-0.568;0.415193;
0.0117363;8.45641;0.150629;-0.0369321;-0.123229;
0.0117463;8.45415;0.154317;0.497733;-0.6616;
0.0117563;8.4484;0.15441;1.03575;-1.19971;
0.0117663;8.4363;0.151186;1.57651;-1.73727;
0.0117741;8.41557;0.147124;1.99528;-2.15198;
0.0117772;8.39895;0.145636;2.16294;-2.31814;
0.0117789;8.38481;0.145125;2.25583;-2.41052;
0.0117801;8.37209;0.145007;2.31867;-2.47324;
0.0117812;8.357;0.145113;2.37991;-2.53457;
0.0117818;8.34919;0.145217;2.40869;-2.56345;
0.0117824;8.33977;0.145364;2.44201;-2.59691;
0.0117831;8.32907;0.145541;2.47871;-2.63377;
0.0117837;8.31905;0.145708;2.51232;-2.66754;
0.0117848;8.30238;0.145985;2.56684;-2.72232;
0.0117858;8.28511;0.146263;2.62209;-2.77783;
0.0117869;8.26694;0.146545;2.67862;-2.83462;
0.0117886;8.23714;0.146987;2.76865;-2.92506;
0.0117902;8.20847;0.147382;2.85227;-3.00905;
0.0117934;8.14857;0.14814;3.01865;-3.17612;
0.0117974;8.06931;0.149005;3.22403;-3.38229;
0.0118017;7.97861;0.149845;3.44187;-3.60087;
0.0118079;7.83632;0.150892;3.75402;-3.91393;
0.0118149;7.66199;0.151832;4.09769;-4.25834;
0.0118246;7.39518;0.152705;4.56147;-4.72271;
0.0118346;7.09022;0.153091;5.02271;-5.18401;
0.0118446;6.75652;0.152947;5.46419;-5.62498;
0.0118546;6.39538;0.152278;5.88411;-6.04384;
0.0118646;6.00824;0.151083;6.28078;-6.43888;
0.0118746;5.59661;0.14937;6.65257;-6.80851;
0.0118846;5.16215;0.147142;6.99797;-7.15121;
0.0118946;4.70656;0.14441;7.31558;-7.46557;
0.0119046;4.23167;0.141179;7.60409;-7.75032;
0.0119146;3.73936;0.137465;7.86232;-8.00429;
0.0119246;3.2316;0.133276;8.08916;-8.22637;
0.011928;3.05525;0.131748;8.1584;-8.29382;
0.0119295;2.97696;0.131056;8.18637;-8.32078;
0.011931;2.89965;0.130361;8.21125;-8.34475;
0.0119323;2.82933;0.129722;8.23069;-8.3631;
0.0119337;2.75929;0.129067;8.24669;-8.3783;
0.0119351;2.6808;0.128323;8.26129;-8.39193;
0.0119371;2.57915;0.12732;8.27576;-8.40545;
0.0119394;2.45624;0.126062;8.28875;-8.4174;
0.0119427;2.28101;0.124155;8.30182;-8.4292;
0.0119471;2.04938;0.121446;8.31369;-8.43941;
0.0119529;1.74062;0.117497;8.32451;-8.44792;
0.0119597;1.38291;0.11249;8.33346;-8.45387;
0.0119697;0.851968;0.104311;8.34309;-8.45849;
0.0119797;0.32051;0.0954394;8.35024;-8.46002;
0.0119897;-0.211369;0.0860983;8.35565;-8.45917;
0.0119997;-0.74352;0.076532;8.35939;-8.45581;
0.0120097;-1.27586;0.0669683;8.36101;-8.44877;
0.0120185;-1.7433;0.0587616;8.35923;-8.43675;
